Model,R2,DA,RMSE,type,p,kappa,kappa_vs_gaussian
RF_Lags_Jumps,0.9492,51.0,1.65,Tree,0.51,2372.999999999996,3707.8124999999936
OLS_WithLags_Jumps,0.949,51.2,1.65,Linear,0.512,1647.5694444444416,2574.32725694444
RF_Lags,0.9485,51.4,1.66,Tree,0.514,1209.8214285714264,1890.3459821428537
OLS_WithLags,0.948,51.2,1.67,Linear,0.512,1645.8333333333305,2571.614583333329
HAR_RV,0.9454,50.6,1.71,Linear,0.506,6565.2777777777665,10258.24652777776
XGB_Lags,0.9429,51.1,1.75,Tree,0.511,1948.140495867765,3043.969524793383
XGB_Lags_Jumps,0.9384,50.4,1.82,Tree,0.504,14662.499999999973,22910.156249999956
LSTM_market_lags_512x7,0.9287,50.1,1.71,LSTM,0.501,232174.99999999956,362773.4374999993
LSTM_jump_aware_512x7,0.7986,49.6,2.87,LSTM,0.496,12478.124999999976,19497.070312499964
RF_NoLag_Jumps,0.7564,51.0,3.61,Tree,0.51,1890.9999999999966,2954.6874999999945
OLS_NoLags_Jumps,0.7393,51.3,3.74,Linear,0.513,1093.6390532544358,1708.8110207100558
OLS_NoLags,0.7363,51.3,3.76,Linear,0.513,1089.2011834319505,1701.8768491124226
XGB_NoLag_Jumps,0.7304,51.1,3.8,Tree,0.511,1509.0909090909065,2357.9545454545414
XGB_NoLag,0.6989,50.2,4.02,Tree,0.502,43681.24999999992,68251.95312499987
RF_NoLag,0.6914,50.8,4.06,Tree,0.508,2700.781249999995,4219.970703124992
LSTM_market_256x3,0.6145,50.8,3.97,LSTM,0.508,2400.390624999996,3750.6103515624936
LSTM_market_512x7,0.6135,49.4,3.98,LSTM,0.494,4260.41666666666,6656.901041666656
LSTM_market_jumps_512x7,0.61,49.6,4.0,LSTM,0.496,9531.249999999982,14892.57812499997
