timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2021-04-23 09:00:00,93.38,0,0,,
2021-04-23 10:00:00,91.41,0,0,,
2021-04-23 11:00:00,91.61,0,0,-13.575756589667016,0.3201575159098959
2021-04-23 12:00:00,91.2,0,0,-11.646877826452656,-0.8446425133016664
2021-04-23 13:00:00,93.1,0,0,-3.989306613012338,2.926826886162743
2021-04-23 14:00:00,92.8,0,0,-13.135822378420364,-0.43978084218559105
2021-04-23 15:00:00,91.73,0,0,-8.755867898077287,-1.6307423779799053
2021-04-23 16:00:00,90.93,0,0,-10.561932207142378,-1.139652086306605
2021-04-23 17:00:00,89.4,0,0,-7.391842873772745,-2.001636948939092
2021-04-23 18:00:00,89.31,0,0,-14.293822335798302,-0.12490692879721384
2021-04-23 19:00:00,89.8,0,0,-12.120314930606403,0.7159093533577771
2021-04-23 20:00:00,89.66,0,0,-13.968144093344518,-0.21346270296068634
2021-04-23 21:00:00,89.06,0,0,-11.24411351233729,-0.9541589039981304
2021-04-23 22:00:00,89.43,0,0,-12.545830370951236,0.6002066617860643
2021-04-23 23:00:00,89.31,0,0,-14.012690100149142,-0.20135011573731845
2021-04-24 00:00:00,90.04,0,0,-10.137747805454802,1.2549928526915237
2021-04-24 01:00:00,89.79,0,0,-13.151929088400294,-0.43540123684028903
2021-04-24 02:00:00,89.29,0,0,-11.473150121913802,-0.8918811352408164
2021-04-24 03:00:00,89.2,0,0,-14.14532306680788,-0.16528564009544522
2021-04-24 04:00:00,88.44,0,0,-9.481803151261285,-1.4333519786277347
2021-04-24 05:00:00,88.65,0,0,-13.275264289850215,0.40186493375871113
2021-04-24 06:00:00,86.29,0,0,1.719703897687436,-4.4791745089983825
2021-04-24 07:00:00,86.69,0,0,-12.080630061655954,0.7267001395828707
2021-04-24 08:00:00,86.63,0,0,-14.344444638552325,-0.11114212468704583
2021-04-24 09:00:00,86.62,0,0,-14.683508040542268,-0.018946767000598812
2021-04-24 10:00:00,87.54,0,0,-8.243571196869343,1.7700419229389168
2021-04-24 11:00:00,88.16,0,0,-10.496785767699693,1.157366175327027
2021-04-24 12:00:00,88.44,0,0,-12.825930901625242,0.5240440076567943
2021-04-24 13:00:00,91.76,0,0,6.787409790543136,5.85714380529951
2021-04-24 14:00:00,92.24,0,0,-11.894105823978318,0.777418290550965
2021-04-24 15:00:00,93.06,0,0,-9.905277741074016,1.3182042185044989
2021-04-24 16:00:00,93.1,0,0,-14.514121916099825,0.06500486185377115
2021-04-24 17:00:00,93.16,0,0,-14.38889545410283,0.09905542109390884
2021-04-24 18:00:00,93.65,0,0,-11.743297924308438,0.8184247458935524
2021-04-24 19:00:00,94.07,0,0,-12.16895146487391,0.7026845032350413
2021-04-24 20:00:00,93.99,0,0,-14.255161916205775,-0.13541915509979435
2021-04-24 21:00:00,93.79,0,0,-13.488915250097826,-0.3437707054094493
2021-04-24 22:00:00,93.9,0,0,-14.048290873019067,0.19166984364250214
