timestamp,jump_indicator,jump_magnitude,jump_period_24h,jump_period_48h,jump_period_72h
2021-04-23 09:00:00,0,0.0,0,0,0
2021-04-23 10:00:00,0,0.0,0,0,0
2021-04-23 11:00:00,0,0.0,0,0,0
2021-04-23 12:00:00,0,0.0,0,0,0
2021-04-23 13:00:00,0,0.0,0,0,0
2021-04-23 14:00:00,0,0.0,0,0,0
2021-04-23 15:00:00,0,0.0,0,0,0
2021-04-23 16:00:00,0,0.0,0,0,0
2021-04-23 17:00:00,0,0.0,0,0,0
2021-04-23 18:00:00,0,0.0,0,0,0
2021-04-23 19:00:00,0,0.0,0,0,0
2021-04-23 20:00:00,0,0.0,0,0,0
2021-04-23 21:00:00,0,0.0,0,0,0
2021-04-23 22:00:00,0,0.0,0,0,0
2021-04-23 23:00:00,0,0.0,0,0,0
2021-04-24 00:00:00,0,0.0,0,0,0
2021-04-25 00:00:00,1,0.03864948911594834,1,1,1
2021-04-25 01:00:00,0,0.0,1,1,1
2021-04-25 02:00:00,0,0.0,1,1,1
2021-04-25 03:00:00,0,0.0,1,1,1
2021-04-25 04:00:00,0,0.0,1,1,1
2021-04-25 05:00:00,0,0.0,1,1,1
2021-04-25 06:00:00,1,0.016875398004669973,1,1,1
2021-04-25 07:00:00,0,0.0,1,1,1
2021-04-25 08:00:00,0,0.0,1,1,1
2021-04-25 09:00:00,1,0.016056034482758608,1,1,1
2021-04-25 10:00:00,0,0.0,1,1,1
2021-04-25 11:00:00,0,0.0,1,1,1
2021-04-25 12:00:00,0,0.0,1,1,1
2021-04-25 13:00:00,0,0.0,1,1,1
2021-04-25 14:00:00,0,0.0,1,1,1
2021-04-25 15:00:00,0,0.0,1,1,1
2021-04-25 16:00:00,0,0.0,1,1,1
2021-04-25 17:00:00,0,0.0,1,1,1
2021-04-25 18:00:00,0,0.0,1,1,1
2021-04-25 19:00:00,0,0.0,1,1,1
2021-04-25 20:00:00,0,0.0,1,1,1
2021-04-25 21:00:00,0,0.0,1,1,1
2021-04-25 22:00:00,0,0.0,1,1,1
2021-04-25 23:00:00,0,0.0,1,1,1
2021-04-26 00:00:00,1,0.011341750481489332,1,1,1
2021-04-26 01:00:00,0,0.0,1,1,1
2021-04-26 02:00:00,1,0.08765027322404362,1,1,1
2021-04-26 03:00:00,1,0.023478677527551617,1,1,1
2021-04-26 04:00:00,0,0.0,1,1,1
2021-04-26 05:00:00,0,0.0,1,1,1
2021-04-26 06:00:00,0,0.0,1,1,1
2021-04-26 07:00:00,0,0.0,1,1,1
2021-04-26 08:00:00,0,0.0,1,1,1
2021-04-26 09:00:00,0,0.0,1,1,1
2021-04-26 10:00:00,0,0.0,1,1,1
2021-04-26 11:00:00,0,0.0,1,1,1
2021-04-26 12:00:00,0,0.0,1,1,1
2021-04-26 13:00:00,0,0.0,1,1,1
2021-04-26 14:00:00,1,0.0194528875379939,1,1,1
2021-04-26 15:00:00,0,0.0,1,1,1
2021-04-26 16:00:00,0,0.0,1,1,1
2021-04-26 17:00:00,0,0.0,1,1,1
2021-04-26 18:00:00,0,0.0,1,1,1
2021-04-26 19:00:00,0,0.0,1,1,1
2021-04-26 20:00:00,0,0.0,1,1,1
2021-04-26 21:00:00,0,0.0,1,1,1
2021-04-26 22:00:00,0,0.0,1,1,1
2021-04-26 23:00:00,0,0.0,1,1,1
2021-04-27 00:00:00,0,0.0,1,1,1
2021-04-27 01:00:00,0,0.0,1,1,1
2021-04-27 02:00:00,0,0.0,1,1,1
2021-04-27 03:00:00,0,0.0,1,1,1
2021-04-27 04:00:00,0,0.0,1,1,1
2021-04-27 05:00:00,1,0.011891760708651722,1,1,1
2021-04-27 06:00:00,0,0.0,1,1,1
2021-04-27 07:00:00,0,0.0,1,1,1
2021-04-27 08:00:00,1,0.011369193154034174,1,1,1
2021-04-27 09:00:00,1,0.025843947075553375,1,1,1
2021-04-27 10:00:00,0,0.0,1,1,1
2021-04-27 11:00:00,1,0.014282103134479418,1,1,1
2021-04-27 12:00:00,1,0.01038594691627126,1,1,1
2021-04-27 13:00:00,0,0.0,1,1,1
2021-04-27 14:00:00,1,0.013895907023749321,1,1,1
2021-04-27 15:00:00,0,0.0,1,1,1
2021-04-27 16:00:00,1,0.01975371985633667,1,1,1
2021-04-27 17:00:00,1,0.01610062893081765,1,1,1
2021-04-27 18:00:00,1,0.04257223216568651,1,1,1
2021-04-27 19:00:00,0,0.0,1,1,1
2021-04-27 20:00:00,0,0.0,1,1,1
2021-04-27 21:00:00,0,0.0,1,1,1
2021-04-27 22:00:00,0,0.0,1,1,1
2021-04-27 23:00:00,0,0.0,1,1,1
2021-04-28 00:00:00,0,0.0,1,1,1
2021-04-28 01:00:00,0,0.0,1,1,1
2021-04-28 02:00:00,0,0.0,1,1,1
2021-04-28 03:00:00,0,0.0,1,1,1
2021-04-28 04:00:00,0,0.0,1,1,1
2021-04-28 05:00:00,0,0.0,1,1,1
2021-04-28 06:00:00,0,0.0,1,1,1
2021-04-28 07:00:00,0,0.0,1,1,1
